"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Entrez"
"231851_at",-2.08805755453495,5.99792912439685,-9.35623566979402,4.77860383141026e-15,1.07072060930681e-12,23.8293222729614,"RAVER2","55225"
"218309_at",3.11047018443556,7.74908507813876,9.33926305601674,5.19021806621795e-15,1.15662881297392e-12,23.7484698154994,"CAMK2N1","55450"
"224428_s_at",-2.4426615404492,8.85387820744712,-9.33677013658042,5.25359079197659e-15,1.16442290180653e-12,23.7365944170222,"CDCA7","83879"
"222803_at",-2.83294751756071,8.5938863685173,-9.33145109729513,5.39140472063011e-15,1.18854386647697e-12,23.711256485884,"PRTFDC1","56952"
"211063_s_at",-1.07668415882387,10.7629233226604,-9.32234858040756,5.63568385122973e-15,1.23575176810601e-12,23.6678958589658,"NCK1","4690"
"203422_at",-1.27776439940415,6.6466939888303,-9.32040628368104,5.68922394859204e-15,1.24085605738334e-12,23.65864362733,"POLD1","5424"
"219223_at",1.24085319238402,5.98758435400707,9.31581198080886,5.81790027225355e-15,1.26220731620891e-12,23.6367585244437,"CACFD1","11094"
"213627_at",1.3166394166771,7.59880316773865,9.30529244372799,6.12359385530611e-15,1.32153601285775e-12,23.58664893222,"MAGED2","10916"
"235266_at",-1.46422685330463,8.12610426433534,-9.29805189877769,6.34328083066674e-15,1.36177951403486e-12,23.5521592188293,"ATAD2","29028"
"201087_at",1.20044721024289,6.62959232632651,9.28176563072523,6.86664884688956e-15,1.46645869436385e-12,23.4745825054424,"PXN","5829"
"215501_s_at",1.899858491272,6.58286039071724,9.25427359824961,7.84989221404862e-15,1.66775637484378e-12,23.3436345302225,"DUSP10","11221"
"241031_at",2.95459047156938,3.12349624873863,9.24801707497344,8.09263049012464e-15,1.71046505472717e-12,23.3138349783289,"C2CD4A","145741"
"209786_at",-1.21785488210962,10.5697942207467,-9.23720567436809,8.52990373896541e-15,1.79364191237199e-12,23.2623417375009,"HMGN4","10473"
"204060_s_at",-1.69791657683391,7.98867467191386,-9.22572315187196,9.020209982486e-15,1.88706474551967e-12,23.2076534878972,"PRKX","5613"
"214746_s_at",1.71275650991711,4.68181296421759,9.21858541778147,9.33908948479301e-15,1.94385799611397e-12,23.1736591219998,"ZNF467","168544"
"225292_at",-1.79415761512744,6.01180698359597,-9.18713755852201,1.08836969318231e-14,2.24188727792031e-12,23.0238925428461,"COL27A1","85301"
"234709_at",3.49744428772063,3.67678448887484,9.18617187065285,1.0934968675838e-14,2.24188727792031e-12,23.0192937873792,"CAPN13","92291"
"219233_s_at",3.09962260099247,7.21426103775757,9.16360195642084,1.22045084547749e-14,2.48386947657659e-12,22.9118162907213,"GSDMB","55876"
